Key,English,French
PROPITEM_TXT_101949,Sport Pop Green Foot  (M),Basquettes de Sport-Pop Vertes (M)
PROPITEM_TXT_101950,Sport Pop Green Bag,Sac à Dos de Sport-Pop Vert
PROPITEM_TXT_101951,Sport Pop Green Glasses,Lunettes de Sport-Pop Vertes
PROPITEM_TXT_101952,Sport Pop 6% Green Set (M),Tenue de Sport-Pop Verte 6% (M)
PROPITEM_TXT_101953,The Sport Pop set for male characters.,Tenue de Sport-Pop Rouge pour garçon.
PROPITEM_TXT_101954,Sport Pop Green Hat (F),Bandeau de Sport-Pop Vert (F)
PROPITEM_TXT_101955,Sport Pop Green Suit (F),Habit de Sport-Pop Vert (F)
PROPITEM_TXT_101956,Sport Pop Green Foot  (F),Basquettes de Sport-Pop Vertes (F)
PROPITEM_TXT_101957,Sport Pop 6% Green Set (F),Tenue de Sport-Pop Verte 6% (F)
PROPITEM_TXT_101958,The Sport Pop set for female characters.,Tenue de Sport-Pop Rouge pour fille.
PROPITEM_TXT_101959,Sport Pop 4% Orange Set,Tenue de Sport-Pop Orange 4%
PROPITEM_TXT_101961,Sport Pop Orange Hat (M),Bandeau de Sport-Pop Orange (M)
PROPITEM_TXT_101962,Sport Pop Orange Suit (M),Habit de Sport-Pop Orange (M)
PROPITEM_TXT_101963,Sport Pop Orange Foot  (M),Basquettes de Sport-Pop Oranges (M)
PROPITEM_TXT_101964,Sport Pop Orange Bag,Sac à Dos de Sport-Pop Orange
PROPITEM_TXT_101965,Sport Pop Orange Glasses,Lunettes de Sport-Pop Oranges
PROPITEM_TXT_101966,Sport Pop 4% Orange Set (M),Tenue de Sport-Pop Orange 4% (M)
PROPITEM_TXT_101967,The Sport Pop set for male characters.,Tenue de Sport-Pop Rouge pour garçon.
PROPITEM_TXT_101968,Sport Pop Orange Hat (F),Bandeau de Sport-Pop Orange (F)
PROPITEM_TXT_101969,Sport Pop Orange Suit (F),Habit de Sport-Pop Orange (F)
PROPITEM_TXT_101970,Sport Pop Orange Foot (F),Basquettes de Sport-Pop Oranges (F)
PROPITEM_TXT_101971,Sport Pop 4% Orange Set (F),Tenue de Sport-Pop Orange 4% (F)
PROPITEM_TXT_101972,The Sport Pop set for female characters.,Tenue de Sport-Pop Rouge pour fille.
PROPITEM_TXT_101973,Sport Pop 2% Pink Set,Tenue de Sport-Pop Rose 2%
PROPITEM_TXT_101975,Sport Pop Pink Hat (M),Bandeau de Sport-Pop Rose(M)
PROPITEM_TXT_101976,Sport Pop Pink Suit (M),Habit de Sport-Pop Rose (M)
PROPITEM_TXT_101977,Sport Pop Pink Foot (M),Basquettes de Sport-Pop Rose (M)
PROPITEM_TXT_101978,Sport Pop Pink Bag,Sac à Dos de Sport-Pop Rose
PROPITEM_TXT_101979,Sport Pop Pink Glasses,Lunettes de Sport-Pop Roses
PROPITEM_TXT_101980,Sport Pop 2% Pink Set (M),Tenue de Sport-Pop Rose (M)
PROPITEM_TXT_101981,The Sport Pop set for male characters.,Tenue de Sport-Pop Rouge pour garçon.
PROPITEM_TXT_101982,Sport Pop Pink Hat (F),Bandeau de Sport-Pop Rose (F)
PROPITEM_TXT_101983,Sport Pop Pink Suit (F),Habit de Sport-Pop Rose (F)
PROPITEM_TXT_101984,Sport Pop Pink Foot (F),Basquettes de Sport-Pop Roses (F)
PROPITEM_TXT_101985,Sport Pop 2% Pink Set (F),Tenue de Sport-Pop Rose (F)
PROPITEM_TXT_101986,The Sport Pop set for female characters.,Tenue de Sport-Pop Rouge pour fille.
PROPITEM_TXT_101987,Sport Pop 2% Purple Set,Tenue de Sport-Pop Violettes 2%
PROPITEM_TXT_101989,Sport Pop Purple Hat (M),Bandeau de Sport-Pop Violet (M)
PROPITEM_TXT_101990,Sport Pop Purple Suit (M),Habit de Sport-Pop Violet (M)
PROPITEM_TXT_101991,Sport Pop Purple Foot (M),Basquettes de Sport-Pop Violettes (M)
PROPITEM_TXT_101992,Sport Pop Purple Bag,Sac à Dos de Sport-Pop Violet
PROPITEM_TXT_101993,Sport Pop Purple Glasses,Lunettes de Sport-Pop Violettes
PROPITEM_TXT_101994,Sport Pop 2% Purple Set (M),Tenue de Sport-Pop Violette 2% (M)
PROPITEM_TXT_101995,The Sport Pop set for male characters.,Tenue de Sport-Pop Rouge pour garçon.
PROPITEM_TXT_101996,Sport Pop Purple Hat (F),Bandeau de Sport-Pop Violet (F)
PROPITEM_TXT_101997,Sport Pop Purple Suit (F),Habit de Sport-Pop Violet (F)
PROPITEM_TXT_101998,Sport Pop Purple Foot (F),Basquettes de Sport-Pop Violettes (F)
PROPITEM_TXT_101999,Sport Pop 2% Purple Set (F),Tenue de Sport-Pop Violette 2% (F)
PROPITEM_TXT_102000,The Sport Pop set for female characters.,Tenue de Sport-Pop Rouge pour fille.
PROPITEM_TXT_102001,Sport Pop Red Tiger,Tigre de Sport-Pop Rouge
PROPITEM_TXT_102002,This cute tiger will for sure run faster than you!,Ce tigre tout mignon court assurément plus vite que vous !
PROPITEM_TXT_102003,Sport Pop Blue Tiger,Tigre de Sport-Pop Bleu
PROPITEM_TXT_102004,Sport Pop Green Tiger,Tigre de Sport-Pop Vert
PROPITEM_TXT_102005,Sport Pop Orange Tiger,Tigre de Sport-Pop Orange
PROPITEM_TXT_102006,Sport Pop Pink Tiger,Tigre de Sport-Pop Rose
PROPITEM_TXT_102007,Sport Pop Purple Tiger,Tigre de Sport-Pop Violet
PROPITEM_TXT_102008,Sport Pop Lucky Box,Boîte Mystère de Sport-Pop
PROPITEM_TXT_102009,This box contains a Sport Pop Set with Speed bonus. You can select your gender after opening the Lucky Box.,Cette boîte contient un ensemble Tenue de Sport-Pop avec un bonus de vitesse de déplacement. Vous pourrez sélectionner le genre du costume en ouvrant la boîte.
PROPITEM_TXT_102010,Red Soccer Ball,Ballon de Foot Rouge
PROPITEM_TXT_102011,This item gives 5 points to the soccer event ranking! Does not stack with Power Scrolls and Upcut Stones.,Cet objet donne 5 points au classement de l'événement de football ! Il ne se cumule pas avec les Secrets de Puissance ou Pierres Mars.
PROPITEM_TXT_102012,Black Soccer Ball,Ballon de foot noir
PROPITEM_TXT_102013,This item gives 3 points to the soccer event ranking! Does not stack with Power Scrolls and Upcut Stones.,Cet objet donne 3 points au classement de l'événement de football ! Il ne se cumule pas avec les Secrets de Puissance ou Pierres Mars.
PROPITEM_TXT_102014,Blue Soccer Ball,Ballon de foot bleu
PROPITEM_TXT_102015,This item gives 1 point to the soccer event ranking! Does not stack with Power Scrolls and Upcut Stones.,Cet objet donne 1 point au classement de l'événement de football ! Il ne se cumule pas avec les Secrets de Puissance ou Pierres Mars.
PROPITEM_TXT_102016,Soccer Gold Box,Boîte d'Or de Football
PROPITEM_TXT_102017,Soccer Silver Box,Boîte d'Argent de Football
PROPITEM_TXT_102018,Soccer Bronze Box,Soccer Bronze Box
PROPITEM_TXT_102019,This box contains many rewards for the soccer event participants!,Cette boîte contient de nombreuses récompenses pour les participants à l'événement de football !
PROPITEM_TXT_102020,Soccer Costume Box,Boîte de Tenue de Foot
PROPITEM_TXT_102021,"Select if you want to receive a Red, Blue or White Soccer Set!","Choisissez si vous souhaitez recevoir une Tenue de Foot Rouge, Bleue ou Blanche !"
PROPITEM_TXT_102036,Turkey Buff Box,Boîte de Bienfaits de Thanksgiving
PROPITEM_TXT_102037,"Select if you want to receive 10 of Red, Green, Blue or Yellow Turkey! Each item provides +50% Exp and a +30 Stat for 1 hour. Does not stack with Scroll of Amplification ES, Elixir nor Flask.","Select if you want to receive 10 of Red, Green, Blue or Yellow Turkey! Each item provides +50% Exp and a +30 Stat for 1 hour. Does not stack with Scroll of Amplification ES, Elixir nor Flask."
PROPITEM_TXT_102022,Thanksgiving ES Scroll Package,Paquet de Parchemins Spéciaux d'Amplification de Thanksgiving
PROPITEM_TXT_102023,"A package containing 15 Upcut Stone, 15 Vital Drink X or Refresher Hold, 20 Scroll of Return and a Turkey Buff Box. All items are also linked.","Paquet qui contient 15 Pierres Mars, 15 Boissons Énergétiques X ou Fioles de Mana X, 20 Parchemins de Transfert et une Boîte de Bienfaits de Thanksgiving. Tous les objets sont liés."
PROPITEM_TXT_102024,Thanksgiving Smelting Scroll Package A,Boîte de Parchemins de Fusion de Thanksgiving A
PROPITEM_TXT_102025,"A package containing 25 Scroll of SProtect, 25 Scroll of Weapon Bonus and a Soccer Costume Box. All items are also linked.","Paquet qui contient 25 Parchemins SProtect, 25 Parchemins de Bonus d'Arme et une Boîte de Tenue de Foot. Tous les objets sont liés."
PROPITEM_TXT_102026,Thanksgiving Smelting Scroll Package B,Paquet de Parchemins de Fusion de Thanksgiving B
PROPITEM_TXT_102027,"A package containing 25 Scroll of GProtect, 45 Scroll of AProtect and a Soccer Costume Box. All items are also linked.","Paquet qui contient 25 Parchemins GProtect, 45 Parchemins AProtect et une Boîte de Tenue de Foot. Tous les objets sont liés."
PROPITEM_TXT_102028,Red Turkey,Dinde Rouge
PROPITEM_TXT_102029,"This roasted turkey provides +50% Exp and +30 STR for 1 hour. Does not stack with Scroll of Amplification ES, Elixir of the Tiger nor Flask of the Tiger.","Cette Dinde Rôtie augmente le gain d'expérience de 50% et la Force (FOR) de +30 pendant une heure. Les effets ne se cumulent pas avec le Parchemin Spécial d'Amplification, la Potion de Force ou la Potion de Grande Force."
PROPITEM_TXT_102030,Green Turkey,Dinde Verte
PROPITEM_TXT_102031,"This roasted turkey provides +50% Exp and +30 DEX for 1 hour. Does not stack with Scroll of Amplification ES, Elixir of the Rabbit nor Flask of the Rabbit.","Cette Dinde Rôtie augmente le gain d'expérience de 50% et la Dextérité (DEX) de +30 pendant une heure. Les effets ne se cumulent pas avec le Parchemin Spécial d'Amplification, la Potion de Dextérité ou la Potion de Grande Dextérité."
PROPITEM_TXT_102032,Blue Turkey,Dinde Bleue
PROPITEM_TXT_102033,"This roasted turkey provides +50% Exp and +30 INT for 1 hour. Does not stack with Scroll of Amplification ES, Elixir of the Fox nor Flask of the Fox.","Cette Dinde Rôtie augmente le gain d'expérience de 50% et l'Intelligence (INT) de +30 pendant une heure. Les effets ne se cumulent pas avec le Parchemin Spécial d'Amplification, la Potion d'Acuité ou la Potion de Grande d'Acuité."
PROPITEM_TXT_102034,Yellow Turkey,Dinde Jaune
PROPITEM_TXT_102035,"This roasted turkey provides +50% Exp and +30 STA for 1 hour. Does not stack with Scroll of Amplification ES, Elixir of the Lion nor Flask of the Lion.","Cette Dinde Rôtie augmente le gain d'expérience de 50% et l'Endurance (END) de +30 pendant une heure. Les effets ne se cumulent pas avec le Parchemin Spécial d'Amplification, la Potion de Vigueur ou la Potion de Grande Vigueur."
PROPITEM_TXT_102066,Purple Yukata Set,Tenue Yukata Violette
PROPITEM_TXT_102068,Purple Yukata Hat (M),Coiffe Yukata Violette (M)
PROPITEM_TXT_102069,Purple Yukata Suit (M),Habit Yukata Violet (M)
PROPITEM_TXT_102070,Purple Yukata Hands (M),Gants Yukata Violets (M)
PROPITEM_TXT_102071,Purple Yukata Set (M),Tenue Yukata Violette (M)
PROPITEM_TXT_102072,The Purple Yukata Set for male characters.,Tenue Yukata Violette pour garçon.
PROPITEM_TXT_102073,Purple Yukata Hat (F),Coiffe Yukata Violette (F)
PROPITEM_TXT_102074,Purple Yukata Suit (F),Habit Yukata Violet (F)
PROPITEM_TXT_102075,Purple Yukata Hands (F),Gants Yukata Violets (F)
PROPITEM_TXT_102076,Purple Yukata Set (F),Tenue Yukata Violette (F)
PROPITEM_TXT_102077,The Purple Yukata Set for female characters.,Tenue Yukata Violette pour fille.
PROPITEM_TXT_102078,Disco 10% Purple Set,Tenue Disco Violette 10%
PROPITEM_TXT_102080,Purple Disco Hat (M),Chapeau Disco Violet (M)
PROPITEM_TXT_102081,Purple Disco Suit (M),Habit Disco Violet (M)
PROPITEM_TXT_102082,Purple Disco Shoes (M),Chaussures Disco Violettes (M)
PROPITEM_TXT_102083,Purple Disco Bag,Sac Disco Violet
PROPITEM_TXT_102084,Purple Disco Glasses,Lunettes Disco Violettes
PROPITEM_TXT_102085,Disco 10% Purple Set (M),Tenue Disco Violette 10% (M)
PROPITEM_TXT_102086,The Disco Purple set for male characters.,Tenue Disco Violette pour garçon.
PROPITEM_TXT_102087,Purple Disco Hat (F),Chapeau Disco Violet (F)
PROPITEM_TXT_102088,Purple Disco Suit (F),Habit Disco Violet (F)
PROPITEM_TXT_102089,Purple Disco Shoes (F),Chaussures Disco Violettes (F)
PROPITEM_TXT_102090,Disco 10% Purple Set (F),Tenue Disco Violette 10% (F)
PROPITEM_TXT_102091,The Disco 10% Purple set for female characters.,Tenue Disco Violette 10% pour fille.
PROPITEM_TXT_102092,Disco 8% Blue Set,Tenue Disco Bleue 8%
PROPITEM_TXT_102094,Blue Disco Hat (M),Chapeau Disco Bleu (M)
PROPITEM_TXT_102095,Blue Disco Suit (M),Habit Disco Bleu (M)
PROPITEM_TXT_102096,Blue Disco Shoes (M),Chaussures Disco Bleues (M)
PROPITEM_TXT_102097,Blue Disco Bag,Sac Disco Bleu
PROPITEM_TXT_102098,Blue Disco Glasses,Lunettes Disco Bleues
PROPITEM_TXT_102099,Disco 8% Blue Set (M),Tenue Disco Bleue 8% (M)
PROPITEM_TXT_102100,The Disco 8% Blue Set for male characters.,Tenue Disco Bleue 8% pour garçon.
PROPITEM_TXT_102101,Blue Disco Hat (F),Chapeau Disco Bleu (F)
PROPITEM_TXT_102102,Blue Disco Suit (F),Habit Disco Bleu (F)
PROPITEM_TXT_102103,Blue Disco Shoes (F),Chaussures Disco Bleues (F)
PROPITEM_TXT_102104,Disco 8% Blue Set (F),Tenue Disco Bleue 8% (F)
PROPITEM_TXT_102105,The Disco 8% Blue Set for female characters.,Tenue Disco Bleue 8% pour fille.
PROPITEM_TXT_102106,Disco 6% Orange Set,Tenue Disco Orange 6%
PROPITEM_TXT_102108,Orange Disco Hat (M),Chapeau Disco Orange (M)
PROPITEM_TXT_102109,Orange Disco Suit (M),Habit Disco Orange (M)
PROPITEM_TXT_102110,Orange Disco Shoes (M),Chaussures Disco Oranges (M)
PROPITEM_TXT_102111,Orange Disco Bag,Sac Disco Orange
PROPITEM_TXT_102112,Orange Disco Glasses,Lunettes Disco Oranges
PROPITEM_TXT_102113,Disco 6% Orange Set (M),Tenue Disco Orange 6% (M)
PROPITEM_TXT_102114,The Disco 6% Orange Set for male characters.,Tenue Disco Orange 6% pour garçon.
PROPITEM_TXT_102115,Orange Disco Hat (F),Chapeau Disco Orange (F)
PROPITEM_TXT_102116,Orange Disco Suit (F),Habit Disco Orange (F)
PROPITEM_TXT_102117,Orange Disco Shoes (F),Chaussures Disco Oranges (F)
PROPITEM_TXT_102118,Disco 6% Orange Set (F),Tenue Disco Orange 6% (F)
PROPITEM_TXT_102119,The Disco 6% Orange Set for female characters.,Tenue Disco Orange 6% pour fille.
PROPITEM_TXT_102120,Disco 4% Pink Set,Tenue Disco Rose 4%
PROPITEM_TXT_102122,Pink Disco Hat (M),Chapeau Disco Rose (M)
PROPITEM_TXT_102123,Pink Disco Suit (M),Habit Disco Rose (M)
PROPITEM_TXT_102124,Pink Disco Shoes (M),Chaussures Disco Roses (M)
PROPITEM_TXT_102125,Pink Disco Bag,Sac Disco Rose
PROPITEM_TXT_102126,Pink Disco Glasses,Lunettes Disco Roses
PROPITEM_TXT_102127,Disco 4% Pink Set (M),Tenue Disco Rose 4% (M)
PROPITEM_TXT_102128,The Disco 4% Pink Set for male characters.,Tenue Disco Rose 4% pour garçon.
PROPITEM_TXT_102129,Pink Disco Hat (F),Chapeau Disco Rose (F)
PROPITEM_TXT_102130,Pink Disco Suit (F),Habit Disco Rose (F)
PROPITEM_TXT_102131,Pink Disco Shoes (F),Chaussures Disco Roses (F)
PROPITEM_TXT_102132,Disco 4% Pink Set (F),Tenue Disco Roses 4% (F)
PROPITEM_TXT_102133,The Disco 4% Pink Set for female characters.,Tenue Disco Rose 4% pour fille.
PROPITEM_TXT_102134,Disco 2% Black Set,Tenue Disco Noire 2%
PROPITEM_TXT_102136,Black Disco Hat (M),Chapeau Disco Noir (M)
PROPITEM_TXT_102137,Black Disco Suit (M),Habit Disco Noir (M)
PROPITEM_TXT_102138,Black Disco Shoes (M),Chaussures Disco Noires (M)
PROPITEM_TXT_102139,Black Disco Bag,Sac Disco Noir
PROPITEM_TXT_102140,Black Disco Glasses,Lunettes Disco Noires
PROPITEM_TXT_102141,Disco 2% Black Set (M),Tenue Disco Noire 2% (M)
PROPITEM_TXT_102142,The Disco 2% Black Set for male characters.,Tenue Disco Noire 2% pour garçon.
PROPITEM_TXT_102143,Black Disco Hat (F),Chapeau Disco Noir (F)
PROPITEM_TXT_102144,Black Disco Suit (F),Habit Disco Noir (F)
PROPITEM_TXT_102145,Black Disco Shoes (F),Chaussures Disco Noires (F)
PROPITEM_TXT_102146,Disco 2% Black Set (F),Tenue Disco Noire 2% (F)
PROPITEM_TXT_102147,The Disco 2% Black Set for female characters.,Tenue Disco Noire 2% pour fille.
PROPITEM_TXT_102148,Disco 2% White Set,Tenue Disco Blanche 2%
PROPITEM_TXT_102150,White Disco Hat (M),Chapeau Disco Blanc (M)
PROPITEM_TXT_102151,White Disco Suit (M),Habit Disco Blanc (M)
PROPITEM_TXT_102152,White Disco Shoes (M),Chaussures Disco Blanches (M)
PROPITEM_TXT_102153,White Disco Bag,Sac Disco Blanc
PROPITEM_TXT_102154,White Disco Glasses,Lunettes Disco Blanches
PROPITEM_TXT_102155,Disco 2% White Set (M),Tenue Disco Blanche 2% (M)
PROPITEM_TXT_102156,The Disco 2% White Set for male characters.,Tenue Disco Blanche 2% pour garçon.
PROPITEM_TXT_102157,White Disco Hat (F),Chapeau Disco Blanc (F)
PROPITEM_TXT_102158,White Disco Suit (F),Habit Disco Blanc (F)
PROPITEM_TXT_102159,White Disco Shoes (F),Chaussures Disco Blanches (F)
PROPITEM_TXT_102160,Disco 2% White Set (F),Tenue Disco Blanche 2% (F)
PROPITEM_TXT_102161,The Disco 2% White Set for female characters.,Tenue Disco Blanche 2% pour fille.
PROPITEM_TXT_102162,Purple Disco Poodle,Caniche Disco Violet
PROPITEM_TXT_102163,Nightclubs never been so cool!,Les boîtes de nuit n'ont jamais été aussi cool !
PROPITEM_TXT_102164,Green Disco Poodle,Caniche Disco Vert
PROPITEM_TXT_102165,Orange Disco Poodle,Caniche Disco Orange
PROPITEM_TXT_102166,Pink Disco Poodle,Caniche Disco Rose
PROPITEM_TXT_102167,Black Disco Poodle,Caniche Disco Noir
PROPITEM_TXT_102168,Cyan Disco Poodle,Caniche Disco Cyan
PROPITEM_TXT_102169,Nine Tails Cage,Cage Neuf-Queues
PROPITEM_TXT_102170,A mythical creature. Once in a lifetime sight!,Une créature mythique. Une rencontre unique dans une vie !
PROPITEM_TXT_102171,Disco Lucky Box,Boîte Mystère Disco
PROPITEM_TXT_102172,This box contains a Disco Set with Speed bonus. You can select your gender after opening the Lucky Box.,Cette boîte contient un ensemble Tenue Disco avec un bonus de vitesse de déplacement. Vous pourrez sélectionner le genre du costume en ouvrant la boîte.
PROPITEM_TXT_102199,Fire Card (A),Carte Feu (A)
PROPITEM_TXT_102200,Gives +6 STR when applied to a pierced weapon or shield.,"FOR augmentée de 6, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102201,Fire Card (B),Carte Feu (B)
PROPITEM_TXT_102202,Gives +4 STR when applied to a pierced weapon or shield.,"FOR augmentée de 4, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102203,Fire Card (C),Carte Feu (C)
PROPITEM_TXT_102204,Gives +3 STR when applied to a pierced weapon or shield.,"FOR augmentée de 3, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102205,Fire Card (D),Carte Feu (D)
PROPITEM_TXT_102206,Gives +2 STR when applied to a pierced weapon or shield.,"FOR augmentée de 2, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102207,Water Card (A),Carte Eau (A)
PROPITEM_TXT_102208,Gives +6 INT when applied to a pierced weapon or shield.,"INT augmentée de 6, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102209,Water Card (B),Carte Eau (B)
PROPITEM_TXT_102210,Gives +4 INT when applied to a pierced weapon or shield.,"INT augmentée de 4, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102264,Water Card (C),Carte Eau (C)
PROPITEM_TXT_102265,Gives +3 INT when applied to a pierced weapon or shield.,"INT augmentée de 3, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102266,Water Card (D),Carte Eau (D)
PROPITEM_TXT_102267,Gives +2 INT when applied to a pierced weapon or shield.,"INT augmentée de 2, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102268,Wind Card (A),Carte Air (A)
PROPITEM_TXT_102269,"Gives +1.5% Critical Chance, +1.5% Attack Speed when applied to a pierced weapon or shield.","Chances de Coups Critique et Vitesse d'Attaque augmentée de +1.5%, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102270,Wind Card (B),Carte Air (B)
PROPITEM_TXT_102271,"Gives +1% Critical Chance, +1% Attack Speed when applied to a pierced weapon or shield.","Chances de Coups Critique et Vitesse d'Attaque augmentée de +1%, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102272,Wind Card (C),Carte Air (C)
PROPITEM_TXT_102273,"Gives +0.5% Critical Chance, +0.5% Attack Speed when applied to a pierced weapon or shield.","Chances de Coups Critique et Vitesse d'Attaque augmentée de +0.5%, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102274,Wind Card (D),Carte Air (D)
PROPITEM_TXT_102275,"Gives +0.2% Critical Chance, +0.25% Attack Speed when applied to a pierced weapon or shield.","Chances de Coups Critique et Vitesse d'Attaque augmentée de +0.2%, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102276,Electric Card (A),Carte Foudre (A)
PROPITEM_TXT_102277,Gives +6 DEX when applied to a pierced weapon or shield.,"DEX augmentée de 6, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102225,Electric Card (B),Carte Foudre (B)
PROPITEM_TXT_102226,Gives +4 DEX when applied to a pierced weapon or shield.,"DEX augmentée de 4, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102227,Electric Card (C),Carte Foudre (C)
PROPITEM_TXT_102228,Gives +3 DEX when applied to a pierced weapon or shield.,"DEX augmentée de 3, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102229,Electric Card (D),Carte Foudre (D)
PROPITEM_TXT_102230,Gives +2 DEX when applied to a pierced weapon or shield.,"DEX augmentée de 2, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102231,Land Card (A),Carte Terre (A)
PROPITEM_TXT_102232,Gives +6 STA when applied to a pierced weapon or shield.,"END augmentée de 6, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102233,Land Card (B),Carte Terre (B)
PROPITEM_TXT_102234,Gives +4 STA when applied to a pierced weapon or shield.,"END augmentée de 4, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102235,Land Card (C),Carte Terre (C)
PROPITEM_TXT_102236,Gives +3 STA when applied to a pierced weapon or shield.,"END augmentée de 3, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102237,Land Card (D),Carte Terre (D)
PROPITEM_TXT_102238,Gives +2 STA when applied to a pierced weapon or shield.,"END augmentée de 2, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102239,Lava Card (A),Carte de Lave (A)
PROPITEM_TXT_102240,Gives +3% Block Penetration when applied to a pierced weapon or shield.,"Pénétration de Blocage augmentée de +3%, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102241,Lava Card (B),Carte de Lave (B)
PROPITEM_TXT_102242,Gives +2% Block Penetration when applied to a pierced weapon or shield.,"Pénétration de Blocage augmentée de +2%, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102243,Lava Card (C),Carte de Lave (C)
PROPITEM_TXT_102244,Gives +1% Block Penetration when applied to a pierced weapon or shield.,"Pénétration de Blocage augmentée de +1%, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102245,Lava Card (D),Carte de Lave (D)
PROPITEM_TXT_102246,Gives +0.5% Block Penetration when applied to a pierced weapon or shield.,"Pénétration de Blocage augmentée de +0.5%, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102247,Volt Card (A),Carte Volt (A)
PROPITEM_TXT_102248,"Gives +1% Skill Damage, +3% MP and FP Consumption Decrease when applied to a pierced weapon or shield.","Dégâts des Compétences augmentée de +1% et consommation des PM & PF diminuée de +3%, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102249,Volt Card (B),Carte Volt (B)
PROPITEM_TXT_102250,"Gives +0.8% Skill Damage, +2% MP and FP Consumption Decrease when applied to a pierced weapon or shield.","Dégâts des Compétences augmentée de +0.8% et consommation des PM & PF diminuée de +2%, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102251,Volt Card (C),Carte Volt (C)
PROPITEM_TXT_102252,"Gives 0.6% Skill Damage, +1% MP and FP Consumption Decrease when applied to a pierced weapon or shield.","Dégâts des Compétences augmentée de +0.6% et consommation des PM & PF diminuée de +1%, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_102253,Volt Card (D),Carte Volt (D)
PROPITEM_TXT_102254,Gives +0.4% Skill Damage when applied to a pierced weapon or shield.,"Dégâts des Compétences augmentée de +0.4%, en glissant la carte dans un emplacement percé de votre arme ou armure."
PROPITEM_TXT_009632,Cat Bell,Clochette de Chat
PROPITEM_TXT_009633,Quest item that drops from Catsy's,Objet de quête obtenu d'un Catsy
PROPITEM_TXT_009634,Harpy Feather,Plume d'Hoppy
PROPITEM_TXT_009635,Quest item that drops from Harpy's,Objet de quête obtenu d'un Hoppy
PROPITEM_TXT_009636,Gullah Mud,Boue Mystérieuse
PROPITEM_TXT_009637,Quest item that drops from Gullah's,Objet de quête obtenu d'un Polleburk
PROPITEM_TXT_009638,Snake Tongue,Langue Avide
PROPITEM_TXT_009639,Quest item that drops from Abraxas,Objet de quête obtenu d'un Abraxas
PROPITEM_TXT_009640,Hague Nail,Ongle de Hague
PROPITEM_TXT_009641,Quest item that drops from Hague's,Objet de quête obtenu d'un Hague
PROPITEM_TXT_009642,Tengu Bill,Long Bec
PROPITEM_TXT_009643,Quest item that drops from Tengu's.,Objet de quête obtenu d'un Tengu
PROPITEM_TXT_009644,Horn of Asterius,Corne de Knum
PROPITEM_TXT_009645,Quest item that drops from Asterius,Objet de quête obtenu d'un Knum
PROPITEM_TXT_009646,Magic Bead,Collier Magique
PROPITEM_TXT_009647,Quest item that drops from Dantalian,Objet de quête obtenu d'un Dantalian
PROPITEM_TXT_009648,Strange Ivory,Ivoire Étrange
PROPITEM_TXT_009649,Quest item that drops from Gannessa,Objet de quête obtenu d'un Ganessa
PROPITEM_TXT_009650,Metal Heart,Cœur Brisé
PROPITEM_TXT_009651,Quest item that drops from Asuras,Objet de quête obtenu d'un Asuras
PROPITEM_TXT_102255,Demon PK Wings,Ailes de Démon PK
PROPITEM_TXT_102256,Show off your PK powers!,Flex sur ta puissance PK !
PROPITEM_TXT_102173,Santa's gift box,Cadeau de Santa
PROPITEM_TXT_102174,One of Santa’s lost gifts. Take it back to every city in exchange for a reward!,Un des cadeaux perdus de Santa. Ramène le dans n'importe quelle ville en échange d'une récompense !
PROPITEM_TXT_102175,Rudolph Set,Tenue de Rudolph
