Key,English,Italian
UI_GUILDCOMBAT_STATE_TIMELEFT_TIP,Time left until next Guild Siege,Tempo rimanente fino al prossimo Assedio della Gilda
UI_GUILDCOMBAT_STATE_TOTALBID,Total Bid:,Offerta totale:
UI_GUILDCOMBAT_STATE_TOTALBID_TIP,"From the combined bids paid by the 10 highest paying Guilds, 35% is paid to the winning Guild.",Il 35% delle offerte combinate pagate dalle 10 Gilde che hanno offerto di più viene versato alla Gilda vincitrice.
UI_GUILDCOMBAT_STATE_BIDRANKING,Bid Ranking,Classifica delle Offerte
UI_GUILDCOMBAT_STATE_BIDRANKING_TIP,Your Guild cannot join a Guild Siege if your Guild Bid is ranked below 10th place. Please try again.,La tua Gilda non può partecipare all'Assedio della Gilda se la sua offerta è inferiore al 10° posto in classifica. Riprova.
UI_GUILDCOMBAT_STATE_CURRENTMINIMUM,Current Minimum Bid,Offerta Minima Attuale
UI_GUILDCOMBAT_STATE_CURRENTMINIMUM_TIP,Current Guild Bid:,Offerta Attuale della Gilda:
UI_GUILDCOMBAT_STATE_APPLY,Apply,Applica
UI_GUILDCOMBAT_STATE_APPLY_TIP,Show Guild Siege Application Menu.,Mostra il Menu di Richiesta d'Assedio della Gilda.
UI_GUILDCOMBAT_STATE_REFRESH,Refresh,Aggiorna
UI_GUILDCOMBAT_STATE_REFRESH_TIP,Review present Guild Siege Application Requirements.,Rivedi i requisiti per partecipare all'Assedio della Gilda.
UI_GUILDCOMBAT_STATE_LIST_TIP,The 10 Guilds that bid the highest amount of penya can join the Guild Siege.,Le 10 gilde che hanno offerto la somma più alta di penya possono partecipare all'Assedio della Gilda.
UI_GUILDCOMBAT_CANCEL_TITLE,Guild Siege - Cancel Application,Assedio della Gilda - Annulla Richiesta
UI_GUILDCOMBAT_CANCEL_MSG,Do you want to withdraw from the Guild Siege?,Vuoi ritirarti dall'Assedio della Gilda?
UI_GUILDCOMBAT_SELECT_TITLE,Set Entry List for Guild Siege,Imposta l'Elenco dei Partecipanti all'Assedio della Gilda
UI_GUILDCOMBAT_SELECT_CONNECTED,Connected Guild Members,Membri della Gilda Collegati
UI_GUILDCOMBAT_SELECT_ENTRANT,Entrant List,Elenco dei Partecipanti
UI_GUILDCOMBAT_SELECT_RIGHT_TIP,Add a connected Guild Member to the entrant list.,Aggiungi un Membro della Gilda collegato all'elenco dei partecipanti.
UI_GUILDCOMBAT_SELECT_LEFT_TIP,Delete a Guild Member from the entrant list.,Elimina un Membro della Gilda dall'elenco dei partecipanti.
UI_GUILDCOMBAT_SELECT_UP_TIP,Arrange the selected Guild member to the upper side.,Sposta il Membro della Gilda selezionato nella parte superiore.
UI_GUILDCOMBAT_SELECT_DOWN_TIP,Arrange the selected Guild member to the lower side.,Sposta il Membro della Gilda selezionato nella parte inferiore.
UI_GUILDCOMBAT_SELECT_COMPLETE,Complete,Completa
UI_GUILDCOMBAT_SELECT_COMPLETE_TIP,Complete the entry list.,Completa l'elenco delle iscrizioni.
UI_GUILDCOMBAT_SELECT_DEFENDER,Defender,Difensore
UI_GUILDCOMBAT_SELECT_DEFENDER_TIP,Selecting the defender,Seleziona il difensore
UI_GUILDCOMBAT_SELECT_REMAKE,Remake,Rifare
UI_GUILDCOMBAT_SELECT_REMAKE_TIP,Remake the entry list.,Rifare l'elenco delle iscrizioni.
UI_GUILDCOMBAT_SELECT_DEFENDER_TIP2,Opponents will get bonus point when your Guild Defender is killed.,Gli avversari otterranno punti bonus quando il tuo Difensore della Gilda verrà ucciso.
UI_GUILDCOMBAT_SELECT_INFO,Register your team. Starting %d members (Maximum %d),Registra la tua squadra. Inizio %d membri (massimo %d)
UI_GUILDCOMBAT_SELECT_ENTRANT_TIP,5 selected members will join the Guild Siege first. Please make an entrant list.,5 membri selezionati parteciperanno per primi all'Assedio della Gilda. Crea una lista dei partecipanti.
UI_GUILDCOMBAT_SELECT_REMAKE_MAKEUP,Would like to organize line up for guild siege again?,Desideri organizzare nuovamente la formazione per l'Assedio della Gilda?
UI_GUILDCOMBAT_TELE_TITLE,Guild Siege Introduction,Introduzione all'Assedio della Gilda
UI_GUILDCOMBAT_TELE_MSG,Entrance has started. Would you like to teleport to the Guild Siege arena?,L'ingresso è iniziato. Vuoi teletrasportarti nell'arena dell'Assedio della Gilda?
UI_GUILDCOMBAT_JOIN_TITLE,Entering Guild Siege Arena,Entrando nell'arena dell'Assedio della Gilda
UI_GUILDCOMBAT_JOIN_MSG,Do you join the Guild Siege?,Vuoi partecipare all'Assedio della Gilda?
UI_NETWORK_ERROR_TITLE,Network Error,Errore di Rete
UI_NETWORK_ERROR_MSG,"A network error happened, please check your connection and login again.","Si è verificato un errore di rete, si prega di controllare la connessione e di effettuare nuovamente il login."
UI_GUILDCOMBAT_JOINWAR_TITLE,Resurrection Location,Luogo della Resurrezione
UI_GUILDCOMBAT_JOINWAR_1_TIP,You have entered the 1st zone.,Sei entrato nella prima zona.
UI_GUILDCOMBAT_JOINWAR_2_TIP,You have entered the 2nd zone.,Sei entrato nella seconda zona.
UI_GUILDCOMBAT_JOINWAR_3_TIP,You have entered the 3rd zone.,Sei entrato nella terza zona.
UI_GUILDCOMBAT_JOINWAR_4_TIP,You have entered the 4th zone.,Sei entrato nella quarta zona.
UI_GUILDCOMBAT_JOINWAR_5_TIP,You have entered the 5th zone.,Sei entrato nella quinta zona.
UI_GUILDCOMBAT_JOINWAR_6_TIP,You have entered the 6th zone.,Sei entrato nella sesta zona.
UI_GUILDCOMBAT_JOINWAR_7_TIP,You have entered the 7th zone.,Sei entrato nella settima zona.
UI_GUILDCOMBAT_JOINWAR_8_TIP,You have entered the 8th zone.,Sei entrato nell'ottava zona.
UI_GUILDCOMBAT_JOINWAR_SELECT,Select the zone you wish to enter.,Seleziona la zona in cui desideri entrare.
UI_GUILDCOMBAT_JOINWAR_MSG,"In %d seconds, you will enter zone %s.",Tra %d secondi entrerai nella zona %s.
UI_GUILDCOMBAT_JOINWAR_RANDOM,Random,Casuale
UI_CHAT_ADMIN,[Admin] %s,[Amministratore] %s
UI_GUILDCOMBAT_RATE,Current rank:,Classifica attuale:
UI_GUILDCOMBAT_PERSON_RATE,Individual rank:,Classifica individuale:
UI_TOOLTIP_EXPBOX,#b%s's exp box#nb\nThe time left: %s,#b%s's scatola exp#nb\nTempo rimanente: %s
UI_GUILDCOMBAT_JOIN_READY,Gain entrance when one of your guild mates dies.,Ottieni l'accesso quando uno dei tuoi compagni di gilda muore.
UI_GUILDCOMBAT_JOIN_READY2,Be ready!,Tieniti pronto!
UI_GUILDCOMBAT_LOG_REALTIME,[%s]%s [%s] has killed [%s]%s [%s] and has gained %d points.,[%s]%s [%s] ha ucciso [%s]%s [%s] e ha guadagnato %d punti.
UI_GUILDCOMBAT_LOG_MASTER,Guild Master,Maestro della Gilda
UI_GUILDCOMBAT_LOG_DEFENDER,Defender,Difensore
UI_GUILDCOMBAT_RESULT_TITLE,Guild & Member Ranking,Classifica delle Gilde e dei Membri
UI_GUILDCOMBAT_RESULT_GUILD,Guild Ranking,Classifica delle Gilde
UI_GUILDCOMBAT_RESULT_MEMBER,Member Ranking,Classifica dei Membri
UI_GUILDCOMBAT_RESULT_RANK,United Rank,Classifica Unificata
UI_GUILDCOMBAT_RESULT_LOG,Battle Log,Registro delle Battaglie
UI_GUILDCOMBAT_LOG_GUILD,[%s],[%s]
UI_GUILDCOMBAT_LOG1,Basic Point +2,Punto base +2
UI_GUILDCOMBAT_LOG2,Guild Master Bonus +1,Bonus Maestro di Gilda +1
UI_GUILDCOMBAT_LOG3,Defender Bonus +1,Bonus Difensore +1
UI_GUILDCOMBAT_LOG4,Kill bonus +1,Bonus Uccisione +1
UI_GUILDCOMBAT_LOG5,Resurrecting Bonus +1,Bonus Resurrezione +1
UI_GUILDCOMBAT_LOG6,Killing streak Bonus +%d,Bonus Serie di uccisioni +%d
UI_GUILDCOMBAT_LOG_POINT,(%d grade),(%d grado)
UI_GUILDCOMBAT_LOG_ATTACK,Attack,Attacco
UI_GUILDBANK_GUILDCOMBAT_CLOAK_TIP,Creating Dragon Cloak (The condition: For the guild which wins the guild war).,Creazione del Mantello del Drago (Condizione: per la gilda vincitrice della guerra tra gilde).
UI_GUILDBANK_GUILDCOMBAT_CREATE_CLOAK,"It takes 10,000 penya to create a Dragon Cloak. Would you like to create it?",Per creare un Mantello del Drago occorrono 10.000 penya. Desideri crearlo?
UI_GUILDCOMBAT_RANKING_TITLE,Guild Member Ranking,Classifica dei Membri della Gilda
UI_GUILDCOMBAT_RANKING_RANK,Rank,Rango
UI_GUILDCOMBAT_RANKING_POINT,Grade,Grado
UI_WORLD_DEVICEMOTION_TIP,Motion,Movimento
UI_WORLD_TURBO_TIP,Fuel,Carburante
UI_NAVIGATOR_SHIP,Ship,Nave
UI_OPTION_TOON_STYLE,Outline,Contorno
UI_OPTION_RIM_OUTLINE,Rim Outlines,Contorni del Bordo
UI_APP_WIKI_TIP,Get help from Wiki,Ottieni aiuto da Wiki
UI_ROSHAMBO_OPEN_CONFIRM,I challenge you to a game of Rock-Paper-Scissors!,Ti sfido a una partita a Sasso-Carta-Forbice!
UI_ROSHAMBO_TITLE,Rock-Paper-Scissors,Sasso-Carta-Forbici
UI_ROSHAMBO_VS,VS,VS
UI_ROSHAMBO_SCISSOR,Scissors,Forbici
UI_ROSHAMBO_ROCK,Rock,Sasso
UI_ROSHAMBO_PAPER,Paper,Carta
UI_ROSHAMBO_WINNINGCOUNT,%d win(s),%d vittorie
UI_ROSHAMBO_DEFEAT,You Lose!,Hai Perso!
UI_ROSHAMBO_WIN_TITLE,You Win!,Hai Vinto!
UI_ROSHAMBO_WIN_END,End,Fine
UI_ROSHAMBO_WIN_NEXT,Next,Avanti
UI_ROSHAMBO_WIN_MSG,Press END if you want to claim your current prize and stop playing or press NEXT to continue playing for more prizes -,Premi FINE se desideri richiedere il tuo premio attuale e smettere di giocare oppure premi AVANTI per continuare a giocare e vincere altri premi-
UI_ROSHAMBO_WIN_MSG2,Please Note: You will not receive your current prize if you choose to continue playing.,"Nota Bene: Se decidi di continuare a giocare, non riceverai il premio attuale."
UI_ROSHAMBO_WIN_MSG3,"Congratulations, you won %d time(s)! You receive %s x%d.","Congratulazioni, hai vinto %d volte! Ricevi %s x%d."
UI_EXCHANGE_COUNT_TITLE,Input item quantity,Quantità articolo immessa
UI_EXCHANGE_COUNT_MSG,How many?,Quanti?
UI_EXCHANGE_COUNT_LABEL,Number:,Numero:
UI_TOOLTIP_PET_REAR,[Raised Pet],[Animale Domestico]
UI_TOOLTIP_PET_PICKUP,[Pick-Up Pet],[Compagno Raccoglitore]
UI_PET_GRADE_0,Egg,Uovo
UI_PET_GRADE_1,F Tier,Livello F
UI_PET_GRADE_2,E Tier,Livello E
UI_PET_GRADE_3,D Tier,Livello D
UI_PET_GRADE_4,C Tier,Livello C
UI_PET_GRADE_5,B Tier,Livello B
UI_PET_GRADE_6,A Tier,Livello A
UI_PET_GRADE_7,S Tier,Livello S
UI_PET_EXP_MAX,Exp: 99.99%,Exp: 99.99%
UI_PET_EXP,Exp: %.2f%%,Exp: %.2f%%
UI_TOOLTIP_ABILITY,Bonus,Bonus
UI_PET_HP,Energy: %d / %d,Energia: %d / %d
UI_PET_LEVEL,Lv%d,Lv%d
UI_PET_DEAD,(DEAD),(MORTO)
UI_PET_REROLL_TIER,Scroll-rerolled tier:,Livello ricalcolato con pergamena:
UI_TARGET_CLEAR,Clear the target,Cancella il bersaglio
UI_OPTION_TAB_UI,Interface,Interfaccia
UI_OPTION_AUTO_ATTACK,Auto Attack,Attacco Automatico
UI_OPTION_FIXED_CAMERA,Fixed Camera,Camera Fissa
UI_OPTION_OTHER_DAMAGES,Display all damage,Mostra tutti i danni
UI_OPTION_HIDE_OTHER_PLAYERS,Hide other Players,Nascondi altri Giocatori
UI_OPTION_TRANSPARENT_CHAT,Transparent chat,Chat trasparente
UI_OPTION_RIGHT_CLICK_MENU,Right Click Player Menu,Menu Player con Click Destro
UI_OPTION_TOP_PLAYER_GAUGES,MP & FP Gauges,Misuratori MP e FP
UI_OPTION_TOP_PLAYER_GAUGES_TIP,Enables FP & MP gauges above the player.,Abilita gli misuratori FP e MP sopra il giocatore.
UI_OPTION_SELECT_PETS,Select Pets,Seleziona animali domestici
UI_FACE_SHOP_TITLE,Plastic Surgery,Chirurgia plastica
UI_FACE_SHOP_BASE_FACE,Friendly Face,Volto amichevole
UI_FACE_SHOP_NEW_FACE,New Face,Volto nuovo
UI_TOOLTIP_SPELL_RANGE,Spell Range: %d,Portata dell'incantesimo: %d
UI_TOOLTIP_COMBO_TYPE,Combo: %s,Combo: %s
UI_TOOLTIP_COMBO_STEP,Step,Passo
UI_TOOLTIP_COMBO_CIRCLE,Circle,Cerchio
UI_TOOLTIP_COMBO_FINISH,Finish,Fine
UI_TOOLTIP_BASE_DAMAGE,Base Damage: %d ~ %d,Danno base: %d ~ %d
UI_TOOLTIP_SCALE_ATTACK,Attack Scaling,Scalabilità Attacco
UI_TOOLTIP_SCALE_HEAL,Heal Scaling,Scalabilità Cura
UI_TOOLTIP_SCALE_TIME,Time Scaling,Scalabilità Tempo
UI_TOOLTIP_SCALE_CHARGE,Dec. Charging Time Scaling,Dic. Scala dei tempi di ricarica
UI_TOOLTIP_SCALE_PARAM,Scaling,Scalabilità
UI_TOOLTIP_SCALE_PARAM_PER,per,per
UI_TOOLTIP_SCALE_PARAM_MAX,max,max
UI_TOOLTIP_PVP,PVP,PVP
UI_TOOLTIP_PVE,PVE,PVE
UI_TOOLTIP_AROUND,Around,Intorno
UI_TOOLTIP_BASE_HEAL,Base Heal: %d,Guarigione base: %d
UI_TOOLTIP_BASE_HEAL_MP,Base MP Heal: %d,Guarigione MP base: %d
UI_TOOLTIP_BASE_HEAL_FP,Base FP Heal: %d,Guarigione FP base: %d
UI_TOOLTIP_BASE_TIME,Base Time: %.2d:%.2d.%.3d,Ora di base: %.2d:%.2d.%.3d
UI_TOOLTIP_BASE_TIME_PVP,/ %.2d:%.2d (PVP & Giants),/ %.2d:%.2d (PVP e Giganti)
UI_TOOLTIP_PROBABILITY,Probability: %d%%,Probabilità: %d%%
UI_TOOLTIP_PROBABILITY_PVP,/ %d%% (PVP & Giants),/ %d%% (PVP & Giganti)
UI_TOOLTIP_PROBABILITY_FLYBACK,Knockdown Probability: %d%%,Probabilità di Abbattimento: %d%%
UI_TOOLTIP_COOLDOWN,Cooldown: %.2d:%.2d,Tempo di ricarica: %.2d:%.2d
UI_TOOLTIP_COOLDOWN_PVP,/ %.2d:%.2d (PVP),/ %.2d:%.2d (PVP)
UI_TOOLTIP_COOLDOWN_ONLY_PVP,Cooldown: %.2d:%.2d (PVP),Tempo di ricarica: %.2d:%.2d (PVP)
UI_TOOLTIP_COOLDOWN_ONEND,(After Expiry),(Dopo la scadenza)
UI_TOOLTIP_CASTING,Casting Time: %.2d:%.2d,Tempo di lancio: %.2d:%.2d
UI_TOOLTIP_CHARGING,Charging Time: %.2d:%.2d,Tempo di ricarica: %.2d:%.2d
UI_NEWCHAR_FACE,Face,Volto
UI_NEWCHAR_HAIR,Hair,Capelli
UI_NEWCHAR_HAIR_COLOR,Hair Color,Colore dei capelli
UI_WORLD_ZOOM_LEVEL,%dX Zoom. Press the Scroll Lock Key to toggle.,Zoom %dX. Premere il tasto Bloc Scorr per attivare/disattivare.
UI_KEYBIND_CHAR_CONTROL,Movement Keys,Tasti di movimento
UI_KEYBIND_MOVE_FORWARD,Move Forward,Avanti
UI_KEYBIND_MOVE_BACKWARD,Move Backward,Indietro
UI_KEYBIND_TURN_LEFT,Turn Left,Girare a sinistra
UI_KEYBIND_TURN_RIGHT,Turn Right,Girare a destra
UI_KEYBIND_JUMP,Jump,Saltare
UI_KEYBIND_WALK,Toggle Run/Walk,Attiva/Disattiva corsa/camminata
UI_KEYBIND_SKILL_COMBO,Action Slot,Slot Azione
UI_KEYBIND_CLEAR_TARGET,Clear Target,Bersaglio chiaro
UI_KEYBIND_TRACE_TARGET,Follow Target,Segui bersaglio
UI_KEYBIND_SELECT_TARGET,Select PVP Target,Seleziona bersaglio PVP
UI_KEYBIND_APPLETS,Windows,Finestre
UI_KEYBIND_CAMERA,Camera Control,Controllo Camera
UI_KEYBIND_CAMERA_LEFT,Rotate Left,Ruota a sinistra
UI_KEYBIND_CAMERA_RIGHT,Rotate Right,Ruota a destra
UI_KEYBIND_CAMERA_UP,Rotate Up,Ruota verso l'alto
UI_KEYBIND_CAMERA_DOWN,Rotate Down,Ruota verso il basso
UI_KEYBIND_ZOOM_IN,Zoom In,Avvicina
UI_KEYBIND_ZOOM_OUT,Zoom Out,Allontana
UI_KEYBIND_ZOOM_LEVEL,Toggle Zoom,Attiva/disattiva zoom
UI_KEYBIND_TASKBAR,Taskbar Functions,Funzioni della Barra delle Applicazioni
UI_KEYBIND_TASKBAR_N,Taskbar %d,Barra delle Applicazioni %d
UI_KEYBIND_TASKBAR_SLOT,Taskbar Slot %d,Slot della Barra delle Applicazioni %d
UI_KEYBIND_TASKBAR2_SLOT,2nd Bar Slot %d,2° Slot della Barra %d
UI_KEYBIND_TASKBAR3_SLOT,3rd Bar Slot %d,3° Slot della Barra %d
UI_KEYBIND_TASKBAR2,Additional Taskbars,Barre delle Applicazioni Aggiuntive
UI_KEYBIND_FULLSCREEN,Toggle Fullscreen,Attiva/disattiva schermo intero
UI_KEYBIND_MAIN_MENU,Main Menu,Menu principale
UI_KEYBIND_TOGGLE_UI,Hide/Show UI,Nascondi/Mostra interfaccia utente
UI_KEYBIND_TOGGLE_SCREENSHOT,Screenshot Mode,Modalità screenshot
UI_KEYBIND_GAME,Game Functions,Funzioni di Gioco
UI_KEYBIND_NONE,Not Bound,Non vincolato
UI_KEYBIND_UNBIND,Unbind the key,Sblocca la chiave
UI_KEYBIND_TITLE,Keys,Chiavi
UI_KEYBIND_RESET,Reset,Reimposta
UI_UPGRADECARD_TITLE,Socket Card Upgrade,Potenziamento Scheda Slot
UI_UPGRADECARD_REGISTER,Register material card.,Registra scheda materiale.
UI_UPGRADECARD_INFO,Fuse 10 material cards to receive 1 higher-grade card.,Fusione di 10 schede materiale per ottenere 1 scheda di grado superiore.
UI_RESHUFFLECARD_TITLE,Weapon Socket Card Reshuffle,Rimescolamento Scheda Slot Arma
UI_RESHUFFLECARD_REGISTER,Register weapon material card.,Registra Scheda Materiale Arma.
UI_RESHUFFLECARD_INFO,Fuse 3 weapon material cards to receive 1 same grade card.,Fusione di 3 schede materiale arma per ottenere 1 scheda dello stesso grado.
UI_RESHUFFLECARD_CONFIRM,"If you reshuffle the cards, the cards used as materials disappear.\nDo you want to continue?","Se rimescoli le schede, quelle usate come materiale scompariranno. \nVuoi continuare?"
UI_CONVERTSOULLINK_TITLE,Convert soul link,Converti Legato all'Anima
UI_CONVERTSOULLINK_INFO,You can convert the item a soul-linked type.,È possibile convertire l'oggetto in un tipo legato all'Anima.
UI_CONVERTSOULLINK_CONFIRM,The converted item cannot be returned.\nDo you want to continue?,L'oggetto convertito non può essere restituito. Vuoi continuare?
UI_CONVERTSOULLINK_NOTAVAILABLE,This item cannot be converted.,Questo oggetto non può essere convertito.
UI_GUILD_SCROLLGADD_CONFIRM,The scroll will permanently increase the amount of members you can have in a guild by 5. If you join another guild it will have no effect on the new guild. Do you confirm the use?,"La pergamena aumenterà in modo permanente di 5 il numero di membri che puoi avere in una gilda. Se ti unisci a un'altra gilda, non avrà alcun effetto sulla nuova gilda. Confermi l'uso?"
UI_GUILD_TOOLTIP_EXP,Exp:,Exp:
UI_GUILD_TOOLTIP_GOLD,Penya:,Penya:
UI_GUILD_TOOLTIP_LEVEL,#bNext level %d#nb,#bLivello successivo %d#nb
UI_CHANGECHANNEL_TITLE,Change Channel,Cambia Canale
UI_CHANGECHANNEL_MSG,Select channel:,Seleziona canale:
UI_REPORT_TITLE,Report,Segnalazione
UI_REPORT_PLAYER_LABEL,Player,Giocatore
UI_REPORT_REASON_LABEL,Reason,Motivo
UI_REPORT_MESSAGE_LABEL,Message,Messaggio
UI_REPORT_SEND,Send,Invia
UI_REPORT_REASON0,Botting,Botting
UI_REPORT_REASON1,Real money transfer,Trasferimento di denaro reale
UI_REPORT_REASON2,Cheating / hacking,Barare / hackerare
UI_REPORT_REASON3,Bad behavior,Cattivo comportamento
UI_REPORT_REASON4,Insults,Insulti
UI_REPORT_CONFIRM,Are you sure you want to report %s?\n\nAbuse of this feature may result in your account being banned.,Sei sicuro di voler segnalare %s?\n\nL'uso improprio di questa funzione potrebbe comportare il blocco del tuo account.
UI_APP_ACHIEVEMENTS_TIP,Displays the Achievements Menu.,Visualizza il menu Obiettivi.
UI_ACHIEVEMENTS_TITLE,Achievements,Obiettivi
UI_ACHIEVEMENTS_GENERAL_TAB,General,Generale
UI_ACHIEVEMENTS_MONSTERS_TAB,Monsters,Mostri
UI_ACHIEVEMENTS_CONSUMABLES_TAB,Consumables,Materiali di Consumo
UI_ACHIEVEMENTS_TITLES_TAB,Titles & Badges,Titoli e Distintivi
UI_ACHIEVEMENTS_EVENTS_TAB,Events,Eventi
UI_ACHIEVEMENTS_PLAYTIME_TAB,Play time,Tempo di gioco
UI_ACHIEVEMENTS_CONNECTION_SERIES_TAB,Login Streak,Serie di Accessi
UI_ACHIEVEMENTS_TOTAL_CONNECTION_TAB,Login Rewards,Premi Accessi
UI_ACHIEVEMENTS_DESCRIPTION,Description,Descrizione
UI_ACHIEVEMENTS_DESCRIPTION_BINDS,This achievement is bound to your account.,Questo obiettivo è legato al tuo account.
UI_ACHIEVEMENTS_DESCRIPTION_TARGETMONSTERS,Monster(s) to kill: %s.,Mostro/i da uccidere: %s.
UI_ACHIEVEMENTS_DESCRIPTION_TARGETITEMS,Item(s) to use: %s.,Oggetto/i da usare: %s.
UI_ACHIEVEMENTS_REWARD,Reward List,Elenco dei Premi
UI_ACHIEVEMENTS_REWARD_TITLE,Title: #b%s#nb,Titolo: #b%s#nb
UI_ACHIEVEMENTS_REWARD_LEVEL,Level %d,Livello %d
UI_ACHIEVEMENTS_REWARD_CLAIMED,Claimed,Rivendicato
UI_ACHIEVEMENTS_REWARD_GOLD,Penya:,Penya:
UI_ACHIEVEMENTS_REWARD_ITEM,Item(s): %s,Oggetti: %s
UI_ACHIEVEMENTS_REWARD_ATK,Attack rate on target(s): %d%%,Tasso di attacco sul bersaglio/i: %d%%
UI_ACHIEVEMENTS_PROGRESSION,Progression,Progressione
UI_ACHIEVEMENTS_CARD_LEVEL,Level %d,Livello %d
UI_ACHIEVEMENTS_CARD_BONUS,Attack +%s%%,Attacco +%s%%
UI_ACHIEVEMENTS_NOTITLE,No Title,Nessun Titolo
UI_ACHIEVEMENTS_NOTITLE_DESCRIPTION,Do not show any title.,Non mostrare alcun titolo.
UI_ACHIEVEMENTS_PVPTITLE,PVP Title,Titolo PVP
UI_ACHIEVEMENTS_PVPTITLE_CURRENT,"(Currently ""%s"")",(Attualmente “%s”)
UI_ACHIEVEMENTS_PVPTITLE_DESCRIPTION,Show your current PVP title.,Mostra il tuo titolo PVP attuale.
UI_ACHIEVEMENTS_TITLES_SELECT,Select,Seleziona
UI_ACHIEVEMENTS_TITLES_FROM,From,Da
UI_ACHIEVEMENTS_CLAIMBTN,Claim,Richiedi
UI_ACHIEVEMENTS_CLAIMTIP,Receive your rewards!,Ricevi i tuoi premi!
UI_ACHIEVEMENTS_CLAIMTIP_RAND,Spin the wheel! Will you be lucky today?,Gira la ruota! Sarai fortunato oggi?
UI_ACHIEVEMENTS_AVAILABLE,Available,Disponibile
UI_ACHIEVEMENTS_COMPLETED,This achievement has been completed!,Questo obiettivo è stato completato!
UI_TOOLTIP_PARTY_LEVEL,Required Party Level: %d,Livello di Gruppo Richiesto: %d
UI_TOOLTIP_PARTY_POINTS,Required Points: %d,Punti Richiesti: %d
UI_PARTY_PERMANENT_CONFIRM,Members of your party will no longer be ejected automatically when they are offline. If you create or join another party it will have no effect on the new party. Do you confirm the use?,"I membri del tuo gruppo non verranno più espulsi automaticamente quando sono offline. Se crei o ti unisci a un altro gruppo, ciò non avrà alcun effetto sul nuovo gruppo. Confermi l'uso?"
UI_PARTY_PERMANENT,Permanent Party,Gruppo Permanente
UI_SEARCHPARTY_TITLE,Search Party,Cerca Gruppi
UI_SEARCHGUILD_TITLE,Search Guild,Cerca Gilda
UI_GROUPSEARCH,Search,Cerca
UI_TOOLTIP_TRANSMUTE,Transmutation:,Trasmutazione:
UI_TOOLTIP_RARITY,Rarity:,Rarità:
UI_TOOLTIP_RARITY_NORMAL,Common,Comune
UI_TOOLTIP_RARITY_RARE,Uncommon,Non comune
UI_TOOLTIP_RARITY_STRONG,Rare,Raro
UI_TOOLTIP_RARITY_UNIQUE,Unique,Unico
UI_TOOLTIP_RARITY_VERYRARE,Very Rare,Molto Raro
UI_TOOLTIP_RARITY_ULTIMATE,Ultimate,Ultimo
UI_WORLD_CASTING,Casting,Lancio
UI_WORLD_HARVESTING,Harvesting,Raccolta
UI_WORLD_OPENING,Opening,Apertura
UI_WORLD_CHARGING,Charging,Ricarica
UI_NAVIGATOR_LOCALTIME,Local Time,Ora Locale
UI_NAVIGATOR_SERVERTIME,Server Time,Ora Server
UI_NAVIGATOR_MADRIGALTIME,Madrigal Time,Ora Madrigal
UI_UPGRADESAFE_STOP,Stop,Ferma
UI_UPGRADESAFE_RESET,Reset,Reimposta
UI_UPGRADESAFE_MATERIAL_NORMAL,Power Dice,Dado di Potenza
UI_UPGRADESAFE_MATERIAL_ULTIMATE,Sun Stone,Pietrasola
UI_UPGRADESAFE_MATERIAL_ELEMENT,Card,Scheda
UI_UPGRADESAFE_COST,#b%s#nb per attempt,#b%s#nb per tentativo
UI_UPGRADESAFE_TARGET_PIERCING,Piercing Goal,Obiettivo di Perciamento
UI_UPGRADESAFE_TARGET,Upgrade Goal,Obiettivo di Potenziamento
UI_UPGRADESAFE_CURRENT_PIERCING,~Piercings~,~Percia~
UI_UPGRADESAFE_CURRENT,~Current Value~,~Valore Attuale~
UI_SEARCHGROUP_MODE_NO,Not findable,Non reperibile
UI_SEARCHGROUP_MODE_CONFIRM,Leader approval,Approvazione del leader
UI_SEARCHGROUP_MODE_FREE,Join freely,Partecipa liberamente
UI_GROUPSEARCH_REFRESH,Refresh,Aggiorna
UI_GROUPSEARCH_FILTER,Filter:,Filtro:
UI_GROUPSEARCH_SORT,Sort:,Ordina:
UI_GROUPSEARCH_PARTYNAME,Party Name,Nome del Gruppo
UI_GROUPSEARCH_GUILDNAME,Guild Name,Nome della Gilda
UI_GROUPSEARCH_LEADER,Leader,Capo
UI_GROUPSEARCH_MASTER,Master,Maestro
UI_GROUPSEARCH_LEVEL,Level,Livello
UI_GROUPSEARCH_MEMBERS,Members,Membri
UI_GROUPSEARCH_BUFFS,Buffs,Buff
UI_GROUPSEARCH_LEADERLEVEL,Leader Level,Livello Capo
UI_GROUPSEARCH_LEADERNAME,Leader Name,Nome Capo
UI_GROUPSEARCH_MASTERLEVEL,Master Level,Livello Maestro
UI_GROUPSEARCH_MASTERNAME,Master Name,Nome Maestro
UI_GROUPSEARCH_ALL,All,Tutti
UI_GROUPSEARCH_FRIENDS,Friend Leaders,Amici Capi
UI_GROUPSEARCH_STRANGERS,Stranger Leaders,Sconosciuti Capi
UI_GROUPSEARCH_MASTERFRIENDS,Friend Masters,Amici Maestri
UI_GROUPSEARCH_MASTERSTRANGERS,Stranger Masters,Sconosciuti Maestri
UI_GROUPSEARCH_JOIN,Join,Unisciti
UI_GROUPSEARCH_LEADERAPPROVAL,Your request must be approved by the Leader,La tua richiesta deve essere approvata dal Capo
UI_GROUPSEARCH_MASTERAPPROVAL,Your request must be approved by the Master,La tua richiesta deve essere approvata dal Maestro
